"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IOT Based Smart Helmet for Construction Workers","V. Jayasree; M. N. Kumari","Department of Information Technology, I.F.E.T College of Engineering, Villupuram, India; Department of Information Technology, I.F.E.T College of Engineering, Villupuram, India",2020 7th International Conference on Smart Structures and Systems (ICSSS),"22 Sep 2020","2020","","","1","5","Day by day the death rate of the construction workers at the construction site is increasing. But still there are no such remedies to reduce this fatality rate. To provide continuous monitoring of the workers and to prevent them from any health hazards during working, this system proposes a smart flexible helmet for the construction workers to provide security and rescue measures in case of any emergency conditions. The proposed system describes a smart inexpensive helmet for the construction workers made up of chromium embedded with Accelerometer and Gyroscope sensor. The Gyroscope sensor is used to indicate the rotation and orientation of the person with respect to gravity whereas the Accelerometer sensor is used to measure the linear acceleration or motion of the worker. Both these sensors are used for fall detection that may result from drowsiness, fatigue, etc. The helmet monitors the physical conditions of the construction workers and sends notification to the Contractor via the Mobile.","","978-1-7281-7223-1","10.1109/ICSSS49621.2020.9202138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9202138","smart helmet;accelerometer and gyroscopic sensor;mobile app;GSM module","Monitoring;Accelerometers;Gyroscopes;Safety;GSM;Conferences;Intelligent structures","","21","","8","IEEE","22 Sep 2020","23-24 July 2020","23-24 July 2020","IEEE","IEEE Conferences"
"Event-driven stereo vision for fall detection","A. N. Belbachir; S. Schraml; A. Nowakowska","New Sensor Technologies, Safety & Security Department, Austrian Institute of Technology GmbH, Vienna, Austria; New Sensor Technologies, Safety & Security Department, Austrian Institute of Technology GmbH, Vienna, Austria; New Sensor Technologies, Safety & Security Department, Austrian Institute of Technology GmbH, Vienna, Austria",CVPR 2011 WORKSHOPS,"11 Aug 2011","2011","","","78","83","This paper presents a system concept for efficient fall detection in real-time for elderly security in ambient assisted living applications. Event-driven sensors are biologically-inspired and autonomously reacting to scene dynamics and generating events upon relative light intensity change. Their wide dynamic range and high temporal resolution properties enable efficient activity monitoring in natural environment. Using a stereo pair of event-driven sensor chip, it is possible to represent the scene dynamics in a 3D volume at high temporal resolution. Therefore, the person's activity in a home environment can be efficiently recorded, with a low data volume and high temporal resolution that allows efficient incident detection, like person's falls. In this paper, a dataset with scenarios including 68 person's falls has been analyzed for real-time detection with event-driven stereo vision systems and the results are promising.","2160-7516","978-1-4577-0530-4","10.1109/CVPRW.2011.5981819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5981819","","Stereo vision;Digital signal processing;Real time systems;Voltage control;Three dimensional displays;Machine vision;Cameras","","14","","15","IEEE","11 Aug 2011","20-25 June 2011","20-25 June 2011","IEEE","IEEE Conferences"
"IoT Based Smart Helmet for Bike Rider Safety","V. R. Ch; S. Chegondi; K. Myla; S. Murala; S. S. Myla; D. R. Kalava","Department of ECE, Vishnu Institute of Technology, Bhimavaram, India; Department of ECE, Vishnu Institute of Technology, Bhimavaram, India; Department of ECE, Vishnu Institute of Technology, Bhimavaram, India; Department of ECE, Vishnu Institute of Technology, Bhimavaram, India; Department of ECE, Vishnu Institute of Technology, Bhimavaram, India; Department of ECE, Vishnu Institute of Technology, Bhimavaram, India","2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","9 Feb 2024","2023","","","1445","1448","Numerous regulations have been implemented by the government to address the growing incidents of road accidents. Despite the establishment of comprehensive traffic regulations, the occurrence of accidents continues to rise. Adhering to safety measures like helmet usage and cautious driving can mitigate these issues. The adoption of helmets significantly reduces this risk. To enhance accident prevention and response, the integration of Internet of Things (IoT) technology has been introduced into smart helmets. This IoT-equipped helmet system serves multiple purposes, including accident prevention, prompt accident detection, and swift GPS-based position recovery. These functionalities collectively enhance the rider's confidence in their safety. The proposed strategy employs cost-effective sensors like NodeMCU and the MQ sensor. Notably, the helmet must be worn for the motorcycle to start, thanks to its ability to detect the rider's head within proximity. A Bluetooth module facilitates seamless wireless communication between the helmet and the motorcycle components. The most significant advantage of this approach lies in its incorporation of a fall detection mechanism utilizing the MPU6050 Sensor, coupled with a GPS module. This combination allows for rapid and accurate pinpointing of the accident's location, enabling swift response from emergency medical services. Simultaneously, pertinent information about the rider is relayed to emergency contacts. In essence, the smart helmet system greatly enhances accident detection, safety, and overall security for two-wheeled riders.","","979-8-3503-4060-0","10.1109/ICECA58529.2023.10394802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10394802","Arduino;Road accidents;Smart helmet;Global positioning system;Bluetooth;Traffic regulations","Wireless communication;Head;Motorcycles;Regulation;Safety;Internet of Things;Intelligent sensors","","7","","18","IEEE","9 Feb 2024","22-24 Nov. 2023","22-24 Nov. 2023","IEEE","IEEE Conferences"
"Analysis of anomaly detection techniques in video surveillance","K. B. Ovhal; S. S. Patange; R. S. Shinde; V. K. Tarange; V. A. Kotkar","Department of Computer Engineering, JSPM's RSCOE Tathawade, Pune; Department of Computer Engineering, JSPM's RSCOE Tathawade, Pune; Department of Computer Engineering, JSPM's RSCOE Tathawade, Pune; Department of Computer Engineering, JSPM's RSCOE Tathawade, Pune; Department of Computer Engineering, JSPM's RSCOE Tathawade, Pune",2017 International Conference on Intelligent Sustainable Systems (ICISS),"21 Jun 2018","2017","","","596","601","Abnormal activity detection plays a decisive role in surveillance applications. To capture abnormal body of human without the intervention of system i.e. automatically captures the video can be implemented. Human fall detection, suddenly jumping down which has an important application in the field of safety and security. Proposed system use for detecting road side human activity or behavior by using Probabilistic Neural Network (PNN) method for classifying activities or behavior between training dataset and testing videos. The partitions between classes of normal activities have also been learned using multi-PNNs. Local Binary Pattern (LBP) to track the object by using blob analysis. The proposed system is used to recognize and detecting outcome that are equivalent to or better than previous methods.","","978-1-5386-1959-9","10.1109/ISS1.2017.8389240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8389240","Anomaly detection;video surveillance;abnormal activity","Anomaly detection;Feature extraction;Video surveillance;Cameras;Tracking","","5","","23","IEEE","21 Jun 2018","7-8 Dec. 2017","7-8 Dec. 2017","IEEE","IEEE Conferences"
"Wearable Wireless system with embedded real-time fall detection logic for elderly assisted living applications","W. Bao; Y. Chen; X. Zeng","The State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China; The State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China; The State-Key Laboratory of ASIC and System, Fudan University, Shanghai, China",2012 IEEE 11th International Conference on Solid-State and Integrated Circuit Technology,"21 Feb 2013","2012","","","1","3","In recent years, the old people's accidental falling down has become a serious problem, which caused thousands of death of elderly each year. In this article, we designed a falling down detection system to enhance the security of the elderly. It is a Wireless sensor system which contains a wearable terminal and a coordinator, both of which communicate with ZigBee protocol. The wearable terminal detects people's instantaneous acceleration and transmits the signal to coordinator and PC for further process. To determine whether the falling action happens, we designed a fall detection algorithm by exploring the 3D-acceleration difference between falling down and ADL (activies of daily living, such as walk, sit down). So the system could judge the fall action in high rate of accuracy.","","978-1-4673-2475-5","10.1109/ICSICT.2012.6467780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6467780","","Acceleration;Wireless communication;Senior citizens;Accuracy;Accelerometers;Wireless sensor networks;Zigbee","","4","","11","IEEE","21 Feb 2013","29 Oct.-1 Nov. 2012","29 Oct.-1 Nov. 2012","IEEE","IEEE Conferences"
"A fall detection algorithm based on pattern recognition and human posture analysis","Huang Cheng; Haiyong Luo; Fang Zhao","Software School, Beijing University of Posts and Telecommunications, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Software School, Beijing University of Posts and Telecommunications, Beijing, China",IET International Conference on Communication Technology and Application (ICCTA 2011),"7 May 2012","2011","","","853","857","Detecting fall is a particular important task in security monitoring and healthcare applications of sensor networks. However traditional approaches suffer from either a high false positive rate or high false negative rate, especially when the collected sensor data are unbalanced. Therefore, there is a lack of tradeoff between false alarms and misses for many traditional data mining methods to be applied. To solve this problem a novel fall detection algorithm based on pattern recognition and human posture analysis is presented in this paper. It firstly extracts thirty temporal features from the original data traces for different length adaptation of samples, and then exploits Hidden Markov Model (HMM) to filter the noisy character data and reduce the dimension of feature vectors. After that, it performs a closer classification with one-class Support Vector Machine (OCSVM) to filter the high false positive samples, and finally applies posture analysis to counteract the effects of high false negative samples until a satisfying accuracy is achieved. Simulation with real data demonstrates that the proposed algorithm outperforms other existing approaches.","","978-1-84919-470-9","10.1049/cp.2011.0790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6192986","fall detection;Hidden Markov Models;One-Class SVM;posture analysis","","","4","","","","7 May 2012","14-16 Oct. 2011","14-16 Oct. 2011","IET","IET Conferences"
"Automatic Fall Detection in Real Time Video Based Applications","Cambul; Resit Sahin; Elif Karsligil","Bilgisayar Mühendisliği Bölümü, Yıldız Teknik Üniversitesi, Yıldız, İstanbul, Turkey; Bilgisayar Mühendisliği Bölümü, Yıldız Teknik Üniversitesi, Yıldız, İstanbul, Turkey; Bilgisayar Mühendisliği Bölümü, Yıldız Teknik Üniversitesi, Yıldız, İstanbul, Turkey",2006 IEEE 14th Signal Processing and Communications Applications,"31 Jul 2006","2006","","","1","4","In this study, a fall detection system with real time video tracking is implemented to be used where people must be in continuous supervision. Automatic detection of a falling person from a video image is an important problem especially in security and safety applications such as supportive home environments and closed surveilance systems. In this work, first human motion is detected in videos and then tracked. The approach presented here is different from other approaches in the literature. In our work, images grabbed from a continuous video source are stored and if no motion is detected, previously stored still images are evaluted to decide whether the ""no motion"" condition is a result of a fall.","2165-0608","1-4244-0238-7","10.1109/SIU.2006.1659790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1659790","","Motion detection;Real time systems;Security;Domestic safety;Humans;Tracking","","4","","6","IEEE","31 Jul 2006","17-19 April 2006","17-19 April 2006","IEEE","IEEE Conferences"
"Smart Wheel Chair for Paralyzed Patients Using Advanced IoT","A. G. S; C. A; K. D; S. Gomathi","St. Joseph’s Institute of Technology, Chennai; St. Joseph’s Institute of Technology, Chennai; St. Joseph’s Institute of Technology, Chennai; Saveetha School of Engineering SIMATS, Saveetha University","2025 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)","14 Mar 2025","2025","","","1","6","This paper outlines the development of a smart wheelchair equipped with IoT technology to enhance the mobility and safety of paralyzed individuals. The wheelchair incorporates a suite of sensors, including accelerometers, gyroscopes, and proximity sensors, to monitor the user’s environment and physical condition. Data collected from these sensors is processed by an onboard microcontroller and transmitted to a cloud server for real-time analysis and feedback. The wheelchair features an intuitive user interface, including voice recognition and touch-screen controls, and utilizes advanced navigation algorithms to autonomously navigate various environments. Safety features, such as automatic fall detection, emergency stop mechanisms, and GPS tracking, ensure user security. The integration of IoT technology enables the wheelchair to provide enhanced autonomy, connectivity, and overall quality of life for paralyzed patients.","","979-8-3315-1591-1","10.1109/IITCEE64140.2025.10915296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10915296","Smart wheelchair;Internet of Things (IoT);Paralyzed individuals;Mobility enhancement;Assistive technology","Navigation;Wheelchairs;Wheels;User interfaces;Feature extraction;Real-time systems;Safety;Internet of Things;Intelligent sensors;Monitoring","","3","","10","IEEE","14 Mar 2025","16-17 Jan. 2025","16-17 Jan. 2025","IEEE","IEEE Conferences"
"Assisting Wheelchair: Assist W","D. Ranaweera; C. Athalage; M. S. Virajamana; C. Kaveesha; D. De Silva; H. De Silva","Dept. of Information Technology, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Dept. of Information Technology, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Dept. of Information Technology, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Dept. of Information Technology, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Dept. of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Dept. of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",TENCON 2021 - 2021 IEEE Region 10 Conference (TENCON),"16 Feb 2022","2021","","","128","133","Traditional wheelchairs used by disabled people are required to be controlled manually. Hence, continuous monitoring and assistance of a caretaker is a mandatory requirement. This paper introduces an autonomous assisting wheelchair - Assist W, which would facilitate disabled people to do their day-to-day activities independently in a very safe manner, thereby managing their mental and physical health. Assist W can scan the location and design a 2D map of the house using SLAM algorithm and LIDAR sensor. After generating the map, Assist W is able to move automatically according to the commands (Voice and touch) given by the user, with the help of the map data. There is an AR (Augmented Reality) chat-bot that acts as a good companion to manage the mental health of the disabled person. Assist W is also able to manage the security and physical health of the disabled person by providing a fall detection system and automatic lifting system, and sending emergency alerts to the caretakers. This system was tested using simulation.","2159-3450","978-1-6654-9532-5","10.1109/TENCON54134.2021.9707221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707221","Autonomous;Wheelchair;Disabled;Augmented Reality","Laser radar;Simultaneous localization and mapping;Wheelchairs;Mental health;Touch sensitive screens;Security;Stress","","2","","16","IEEE","16 Feb 2022","7-10 Dec. 2021","7-10 Dec. 2021","IEEE","IEEE Conferences"
"Smartguard an Intelligent Wearable for Women's Safety","S. Umamaheswararao; M. N. V. S. S. Kumar; M. C. Kumar; K. K. Raju; B. C. Mouli; P. Krishna","Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India; Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India; Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India; Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India; Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India; Department of ECE, Aditya Institute of Technolgy and Management, Tekkali, India",2025 IEEE Wireless Antenna and Microwave Symposium (WAMS),"23 Sep 2025","2025","","","1","5","As the rate of sexual violence rise, there is a compelling urgency for creative ways to keep woman safe. Some of the products already on the market provide fall detection. PS location tracking, heart-rate Monitoring and emergency notification-including medical alert smartwatches as well as voice activated Assistive systems that connect with first respondents. “SmartGuard: An Intelligent Wearable for Women's Safety” is a wearable device designed to enhance personal security by utilizing advanced sensors and real-time communication technologies. The system integrates a heart rate sensor to detect abnormal heartbeat patterns, which can indicate stress or danger, and a voice recognition module that listens for specific distress keywords like “help.” Upon detecting these triggers, the device automatically sends an emergency alert, including the wearer's GPS location, via GSM to designated contacts. A red LED and buzzer provide immediate audible and visual alerts to those nearby. The device is powered by a 5 V supply and 12 V adapters, while an LCD displays real-time status updates. Controlled by an Arduino UNO, SmartGuard offers a reliable, real-time safety solution that empowers women by providing discreet yet effective assistance in dangerous situations..“SmartGuard is an innovative wearable device designed to enhance safety for women by incorporating advance sensor technology, real time communication systems and automation.By heart rate sensor continuous monitor of physical stress is done and voice recognition module to detect distress signals, the device automatically sends emergency alerts including the users GPS location,to predefined contacts and emergency services. As mentioned earlier it also provide visual and audible alerts to alert nearby individuals.","","979-8-3315-2554-5","10.1109/WAMS64402.2025.11157957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11157957","voice recognition;distress keywords;real time status updates;visual alerts;audible alerts;personal safety technology","Visualization;Speech recognition;Real-time systems;Sensor systems;Safety;Biomedical monitoring;Wearable devices;Wearable sensors;Monitoring;Intelligent sensors","","1","","6","IEEE","23 Sep 2025","5-8 June 2025","5-8 June 2025","IEEE","IEEE Conferences"
"SWBPose: A Lightweight and Efficient Method for Human Pose Estimation","L. Fan; G. Ji","School of Engineering, Aerospace Robotic Technology Research Center, Huzhou University, Huzhou Institute of Zhejiang University, Huzhou, China; School of Engineering, Huzhou University, Huzhou, China",2023 4th International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),"3 Nov 2023","2023","","","172","176","Human pose estimation is a crucial challenge in the field of computer vision, contributing significantly to diverse domains, such as fall detection, security, and healthcare. While most existing models achieve high accuracy by constructing complex network architectures, they often overlook the issue of their impracticability for deployment on edge devices due to substantial computational requirements. In response to this, we propose SWBPose, a lightweight model tailored for efficient pose estimation. Our research demonstrates that the integration of the Swin Transformer Feature Extract (STFE) module can expedite model convergence. We also introduce the novel Dynamic Shift Max activation function, which has empirically been shown to enhance the model's Average Precision (AP) by 0.2%, without necessitating additional computational resources. We validated our model using the COCO2017 dataset, achieving a mean Average Precision (mAP) of 66.01%, with a frame rate of 96.76 FPS, computational complexity of 0.61 Gflops, and a model size of 4.37M parameters when implemented on a GPU. The experimental results clearly demonstrate that our model offers superior performance in balancing the trade-off between accuracy and latency.","","979-8-3503-2949-0","10.1109/ICBASE59196.2023.10303252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10303252","real time human pose estimation;transformer;light weight model;deep learning;coordinate regression","Analytical models;Computational modeling;Pose estimation;Medical services;Feature extraction;Transformers;Real-time systems","","","","26","IEEE","3 Nov 2023","25-27 Aug. 2023","25-27 Aug. 2023","IEEE","IEEE Conferences"
"Transitioning from Handcrafted to Deep Feature Extraction: Human Action Recognition","P. R. Chaudhari; G. V. Kale","SCTR’s Pune Institute of Computer Engineering, Pune, India; SCTR’s Pune Institute of Computer Engineering, Pune, India",2025 5th International Conference on Expert Clouds and Applications (ICOECA),"13 Aug 2025","2025","","","1079","1084","A transitional approach that emphasizes the development of feature extraction techniques is a strategy that aims to shift from the traditional handcrafted methods to the present deep learning methodologies. The different methodology includes extracting features using classical traditional methods with dense trajectories, temporal and spatial features like optical flow Magnitude, optical flow direction alongside advanced pre-trained deep learning models. The advent of deep learning has enabled the automatic extraction of significant features from raw data, compared to the traditional handcrafted feature extraction method and allowing for more complex actions to be recognized. This transition improves the performance in recognizing actions across diverse application areas including pedestrian navigation, video surveillance, sports analysis, remote patient monitoring, security, dance training, fall detection, human-computer interaction and locomotor rehabilitation. The transition from handcrafted feature extraction methods to deep learning approaches has significantly enhanced the accuracy and efficiency of human action recognition systems. The results highlight how these two approaches vary with each other: handcrafted features and deep learning features in terms of computational efficiency and accuracy.","","979-8-3315-2447-0","10.1109/ICOECA66273.2025.00185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113978","Human Action Recognition;Feature Extraction;hand Crafted Features;Deep Learning","Deep learning;Training;Adaptation models;Accuracy;Three-dimensional displays;Feature extraction;Video surveillance;Trajectory;Human activity recognition;Optical flow","","","","14","IEEE","13 Aug 2025","6-7 March 2025","6-7 March 2025","IEEE","IEEE Conferences"
"SmartCare: A Blynk-Assisted IoT Framework for Continuous Elderly Health Surveillance","S. D. Sri; M. P. V.","Department of Electrical and Electronics Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Bengaluru Amrita Vishwa Vidyapeetham, India",2025 11th International Conference on Electrical Energy Systems (ICEES),"31 Oct 2025","2025","","","696","701","The IoT and Blynk-Based Elderly Aid System is a comprehensive health monitoring system that is intended to enhance the well-being and safety of elderly citizens. Using the application of IoT technology and the Blynk platform, the system continuously monitors key health parameters, such as heart rate, SpO (oxygen saturation), body temperature, ambient temperature, proximity, and fall detection. In case of abnormal conditions—such as fever, abnormal heart rates, low oxygen saturation, wandering outside the safe zones, or falls—the system triggers a multi-level alert system. The system comprises instant in-app notifications via the Blynk application, email notifications to assigned caregivers, and loud audio alerts that are intended to summon immediate local assistance. The system also emphasizes data security via password-protected access to patient data, thus ensuring that only authorized personnel have access to sensitive health information. This integrated strategy enables timely intervention, enhances remote monitoring, and provides ongoing safety for elderly individuals.","2693-3934","979-8-3315-5673-0","10.1109/ICEES67011.2025.11213448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11213448","Health;IOT;Blynk;Elderly;Remote monitoring;Real-time Alerts;MQTT;Patient monitoring","Heart rate;Temperature sensors;Temperature measurement;Patient monitoring;Surveillance;Real-time systems;Safety;Personnel;Older adults;Remote monitoring","","","","16","IEEE","31 Oct 2025","21-23 Aug. 2025","21-23 Aug. 2025","IEEE","IEEE Conferences"
"Fall Detection in Hospital Rooms with Probabilistic Graphical Models","J. G. de Frutos; M. S. Nicole Siemon; K. Nasrollahi","Dept. of Electronic Systems, Aalborg University, Aalborg, Denmark; Dept. of Architecture, Design and Media Technology, Aalborg University and Milestone Systems, Aalborg, Denmark; Dept. of Architecture, Design and Media Technology, Aalborg University and Milestone Systems, Aalborg, Denmark","2024 IEEE Thirteenth International Conference on Image Processing Theory, Tools and Applications (IPTA)","22 Nov 2024","2024","","","1","7","Unintentional injury deaths, primarily caused by simple falls among elderly individuals, have consistently ranked as the second most common cause of death over the years, as documented by the World Health Organization. This not only poses a significant health concern but also imposes a substantial financial burden on hospitals, as insurance companies typically do not cover such events. This project aims to address this challenge by developing a simple Artificial Intelligence system based on Video Anomaly Detection to detect fall situations that require less computational power and protect patients' privacy. The system comprises a Keypoint Detector for estimating the patient's pose and a discrete Bayesian Network to detect whether a person has fallen or not. The approach has been trained and tested under the public dataset CAUCAFall achieving an average accuracy of 90.62%, Area Under the ROC Curve of 88.71%, Region-Based Detection Criterion of 86.23% and Track-Based Detection Criterion of 98.39%. The obtained results demonstrate highly competitive performance, approaching the levels achieved by the most recent State-of-the-art works tested on CAUCAFall. Our unsupervised methodology to fall detection is privacy-preserving, computationally lightweight, and learns patterns from the training data in seconds on a conventional 30GB memory Google Cloud Virtual Machine with 8 AMD EPYC 7B13s Intel Broadwell CPUs.","2154-512X","979-8-3315-4184-2","10.1109/IPTA62886.2024.10755628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10755628","Unsupervised Learning;Probabilistic Graphical Models;Video Anomaly Detection;CAUCAFall","Privacy;Graphical models;Hospitals;Image processing;Training data;Insurance;Probabilistic logic;Fall detection;Older adults;Injuries","","2","","22","IEEE","22 Nov 2024","14-17 Oct. 2024","14-17 Oct. 2024","IEEE","IEEE Conferences"
"Privacy-Aware Human Activity Classification using a Transformer-based Model","K. Thipprachak; P. Tangamchit; S. Lerspalungsanti","Department of Computer Engineering, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; Department of Control Systems and Instrumentation Engineering, King Mongkut's University of Technology Thonburi, Bangkok, Thailand; National Metal and Materials Technology Center National Science and Technology Development Agency Pathum Thani, Thailand",2022 IEEE Symposium Series on Computational Intelligence (SSCI),"30 Jan 2023","2022","","","528","534","Fall detection in a bathroom requires privacy as an essential issue. Ultra-wideband sensors have the ability to protect human privacy because their output has only limited information. As a result, interpreting the output is a challenging task. This research implemented a transformer model that learned time-series signals from an ultra-wideband sensor in a bathroom. First, the signals were preprocessed into the two-dimensional range-time format. Second, the range-time data were passed into a convolutional neural network encoder before going into a transformer. Third, the basic movements of humans were used for training. Finally, the encoder and the Transformer were trained separately. The model achieved good accuracy on static postures but not good on transitions due to their overlapped similarity with the static postures.","","978-1-6654-8768-9","10.1109/SSCI51031.2022.10022115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10022115","transformer-based classification;ultra-wideband (UWB);human activity recognition","Training;Privacy;Time series analysis;Radar;Transformers;Human activity recognition;Convolutional neural networks","","2","","21","IEEE","30 Jan 2023","4-7 Dec. 2022","4-7 Dec. 2022","IEEE","IEEE Conferences"
"Wi-Fi CSI Based Human Activity Recognition","J. Kalal; R. Khan; P. Yashaswini; A. Naik; K. Mallibhat","Electronics and Communication, KLE Technological University, Hubballi, India; Electronics and Communication, KLE Technological University, Hubballi, India; Electronics and Communication, KLE Technological University, Hubballi, India; Electronics and Communication, KLE Technological University, Hubballi, India; Electronics and Communication, KLE Technological University, Hubballi, India",2025 5th International Conference on Intelligent Technologies (CONIT),"24 Sep 2025","2025","","","1","8","In this paper, we present a non-vision-based approach for Human Activity Recognition (HAR) aiming to address the privacy concerns associated with vision-based methods. In recent days, HAR finds applications in various areas, including fall detection, pose estimation in the healthcare sector and workplace safety. HAR tasks are predominantly performed by vision-based systems, leading to privacy concerns. Thus, we propose a system to leverage non-vision based technique using Wi-Fi Channel State Information (CSI) signals considering variations caused by human movements for detection and classification of activities including ‘idle’, ‘walking’ and ‘standing’. The proposed approach includes Long Short-Term Memory (LSTM) based architecture to predict human activity and serves as a way to monitor patient activities to ensure adequate rest and recovery. The contribution of the paper includes generation of CSI dataset for ‘idle’, ‘standing’, ‘walking’, ‘squatting’ and ‘jumping’ activities and demonstrate results using the LSTM model trained on the generated dataset thereby achieving an accuracy of $94.36 \%$.","","979-8-3315-2233-9","10.1109/CONIT65521.2025.11167479","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167479","Wi-Fi Channel State Information;Human Activity Recognition System;LSTM;Low-Light Condition;Non-Vision-Based Solution;Privacy Preservation","Privacy;Pose estimation;Memory architecture;Medical services;Safety;Human activity recognition;Long short term memory;Wireless fidelity;Channel state information;Monitoring","","1","","13","IEEE","24 Sep 2025","20-22 June 2025","20-22 June 2025","IEEE","IEEE Conferences"
"Artificial Intelligence - Powered Assistive Technologies for Fall Detection in Older Adults","E. Tîrziu; C. Dobre","Doctoral School of Computer Science, Information Technology and Systems Engineering, National University of Science and Technology Politehnica Bucharest National Institute for Research and Development in Informatics, Bucharest, Romania; Doctoral School of Computer Science, Information Technology and Systems Engineering, National University of Science and Technology Politehnica Bucharest National Institute for Research and Development in Informatics, Bucharest, Romania",2025 25th International Conference on Control Systems and Computer Science (CSCS),"30 Sep 2025","2025","","","362","367","This study explores the role of artificial intelligence in assistive technologies for monitoring older adults, focusing on fall detection using the YOLO (You Only Look Once) object detection algorithm with pose estimation. The proposed system uses YOLOv11’s enhanced real-time processing capabilities to accurately detect falls from video feeds, ensuring rapid intervention and improved safety. The system analyzes skeletal movements to distinguish falls from normal activities with greater precision. Real-time testing was conducted using live webcam recordings under dynamic conditions. The results demonstrate significant improvements in detection accuracy, processing speed and system robustness. Furthermore, the system prioritizes data privacy by processing only skeletal key points, eliminating the need for storing personal visual data. These findings highlight the potential of AI-driven monitoring solutions in enhancing the quality of life for older adults, offering a reliable and privacy-conscious assistive technology for fall prevention and safety.","2379-0482","979-8-3315-7343-0","10.1109/CSCS66924.2025.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181588","vision-based fall detection;pose estimation;YOLOv11;assistive technology;real-time monitoring;alert","YOLO;Accuracy;Pose estimation;Assistive technologies;Real-time systems;Safety;Older adults;Fall detection;Artificial intelligence;Monitoring","","","","13","IEEE","30 Sep 2025","27-30 May 2025","27-30 May 2025","IEEE","IEEE Conferences"
